h,derivada aproximada, cota error
0.1,0.5561281755511222,0.0006784720808738723
0.01,0.5555612712535352,0.00000581192032996364
0.001,0.5555556127114225,0.000000057251287164759135
0.0001,0.5555555561270742,0.0000000005716544839888546
0.00001,0.5555555555647462,0.000000000005715687396272598
0.000001,0.555555555503684,0.00000000000005715601661342697
0.0000001,0.5555555560032843,0.0000000000000005715593087944017
